"male","maleWeight","female","femaleWeight","description"
"Horník",10,"Horník",10,"Těží železo a další minerály z dolů kolem města."
"Kameník",10,"Kameník",10,"Vyjímá kámen z lomu pro použití ve stavebnictví a jiných účelech."
"Sadař",10,"Sadařka",10,"Stará se o ovocné stromy v sadu a sklízí ovoce."
"Pastýř",10,"Pastýřka",10,"Pase a stará se o ovce na ovčí farmě."
"Rybář",10,"Rybářka",5,"Rybaří v blízkém moři a prodává ryby měšťanům."
"Kovář",10,"Kovářka",5,"Kuje železo do nástrojů, zbraní a jiných objektů."
"Zedník",10,"Zedník",5,"Láme a tvaruje kámen ke stavbě budov, soch a jiných objektů."
"Tesař",10,"Tesařka",5,"Staví a opravuje dřevěné konstrukce, jako jsou domy, nábytek a vozy."
"Krejčí",5,"Krejčová",10,"Šije a opravuje oblečení."
"Obuvník",10,"Obuvnice",10,"Vyrábí a opravuje boty."
"Pekař",10,"Pekařka",10,"Peče chléb a další pečivo."
"Řezník",10,"Řeznice",10,"Poráží zvířata a prodává maso."
"Mlynář",10,"Mlynářka",10,"Mele obilí na mouku."
"Sládek",10,"Sládková",10,"Vaří pivo."
"Hospodský",10,"Hospodská",10,"Vlastní a provozuje hostinec, kde se cestovatelé mohou ubytovat a najíst."
"Obchodník",10,"Obchodnice",10,"Obchoduje se zbožím a prodává ho na trhu."
"Lékař",10,"Lékařka",10,"Léčí nemocné a zraněné."
"Porodní_dědek",1,"Porodní_bába",10,"Pomáhá ženám při porodu."
"Holič",10,"Kadeřnice",10,"Stříhá vlasy a provádí další úpravy vzhledu."
"Učitel",5,"Učitelka",10,"Vzdělává děti."
"Kněz",10,"Kněžka",10,"Vykonává náboženské obřady pro město."
"Dráteník",10,"Drátenice",5,"Opravuje lampy, hrnce, pánve a další kovové předměty."
"Bednář",10,"Bednářka",5,"Vyrábí a opravuje sudy a další dřevěné nádoby."
"Kolář",10,"Kolářka",10,"Vyrábí a opravuje kola pro vozy a jiná vozidla."
"Tkadlec",5,"Tkadlena",10,"Tká tkaninu z příze."
"Barvíř",5,"Barvířka",10,"Barví tkaniny do různých barev."
"Koželuh",10,"Koželužka",10,"Přeměňuje zvířecí kůže na kůži."
"Hrnčíř",5,"Hrnčířka",10,"Vyrábí keramiku z hlíny."
"Sklenář",10,"Sklenářka",10,"Vyrábí skleněné předměty, jako jsou láhve, okna a zrcadla."
"Mýdlář",10,"Mýdlářka",10,"Vyrábí mýdlo z tuku a louhu."
"Svíčkař",5,"Svíčkářka",10,"Vyrábí svíčky z tuku"
"Lovec",10,"Lovkyně",5,"Loví zvířata pro kožešiny a maso."
"Strážce",10,"Strážkyně",1,"Udržuje zákon a pořádek."
